NODE,PARENT,PATH
OPS_READ_ROLE,OPS_GENERAL, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFPBIRPT ==> OPS_GENERAL ==> OPS_READ_ROLE
TOPS_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFPBIRPT ==> TRANS_READ_ROLE ==> TOPS_READ_ROLE
TGEN_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFPBIRPT ==> TRANS_READ_ROLE ==> TGEN_READ_ROLE
TSRV_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFPBIRPT ==> TRANS_READ_ROLE ==> TSRV_READ_ROLE
TOPS_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE ==> TOPS_READ_ROLE
TGEN_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE ==> TGEN_READ_ROLE
TSRV_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE ==> TSRV_READ_ROLE
TGEN_READ_ROLE,TGEN_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE ==> TGEN_READ_ROLE
TSRV_READ_ROLE,TSRV_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE ==> TSRV_READ_ROLE
INSIGHTS_READ_ROLE,INSIGHTS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE ==> INSIGHTS_READ_ROLE
TOPS_READ_ROLE,TOPS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE ==> TOPS_READ_ROLE
TRANS_FULL_ROLE,SFINFDBMI, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFDBMI ==> TRANS_FULL_ROLE
STAGE_FULL_ROLE,SFINFDBMI, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFDBMI ==> STAGE_FULL_ROLE
IT_DEVELOPER,SFINFDBMI, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFDBMI ==> IT_DEVELOPER
TRANS_FULL_ROLE,SFINFELT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFELT ==> TRANS_FULL_ROLE
IT_DEVELOPER,SFINFELT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFELT ==> IT_DEVELOPER
STAGE_FULL_ROLE,SFINFELT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFELT ==> STAGE_FULL_ROLE
OPS_GENERAL,SFPBIRPT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFPBIRPT ==> OPS_GENERAL
STAGE_READ_ROLE,SFPBIRPT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFPBIRPT ==> STAGE_READ_ROLE
TRANS_READ_ROLE,SFPBIRPT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFPBIRPT ==> TRANS_READ_ROLE
TRANS_READ_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE
TGEN_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE
TSRV_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE
INSIGHTS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE
TOPS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE
TRANS_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> IT_DEVELOPER ==> TRANS_FULL_ROLE
STAGE_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> IT_DEVELOPER ==> STAGE_FULL_ROLE
INSIGHTS_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> IT_DEVELOPER ==> INSIGHTS_FULL_ROLE
STAGE_READ_ROLE,STAGE_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> STAGE_FULL_ROLE ==> STAGE_READ_ROLE
TRANS_READ_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE
TGEN_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE
TSRV_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE
INSIGHTS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE
TOPS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE
STAGE_READ_ROLE,STAGE_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> STAGE_FULL_ROLE ==> STAGE_READ_ROLE
INSIGHTS_READ_ROLE,INSIGHTS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> INSIGHTS_FULL_ROLE ==> INSIGHTS_READ_ROLE
TRANS_FULL_ROLE,SFINFDBMI, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFDBMI ==> TRANS_FULL_ROLE
STAGE_FULL_ROLE,SFINFDBMI, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFDBMI ==> STAGE_FULL_ROLE
IT_DEVELOPER,SFINFDBMI, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFDBMI ==> IT_DEVELOPER
TRANS_FULL_ROLE,SFINFELT, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFELT ==> TRANS_FULL_ROLE
IT_DEVELOPER,SFINFELT, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFELT ==> IT_DEVELOPER
STAGE_FULL_ROLE,SFINFELT, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFELT ==> STAGE_FULL_ROLE
OPS_GENERAL,SFPBIRPT, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFPBIRPT ==> OPS_GENERAL
STAGE_READ_ROLE,SFPBIRPT, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFPBIRPT ==> STAGE_READ_ROLE
TRANS_READ_ROLE,SFPBIRPT, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFPBIRPT ==> TRANS_READ_ROLE
TOPS_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE ==> TOPS_READ_ROLE
TGEN_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE ==> TGEN_READ_ROLE
TSRV_READ_ROLE,TRANS_READ_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE ==> TSRV_READ_ROLE
TGEN_READ_ROLE,TGEN_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE ==> TGEN_READ_ROLE
TSRV_READ_ROLE,TSRV_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE ==> TSRV_READ_ROLE
INSIGHTS_READ_ROLE,INSIGHTS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE ==> INSIGHTS_READ_ROLE
TOPS_READ_ROLE,TOPS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE ==> TOPS_READ_ROLE
TRANS_READ_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> IT_DEVELOPER ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE
